"Name","Specified","Type"
"@dnd-kit/core","^6.3.1","dependency"
"@dnd-kit/modifiers","^9.0.0","dependency"
"@dnd-kit/sortable","^10.0.0","dependency"
"@headlessui/react","^2.2.4","dependency"
"@radix-ui/react-checkbox","^1.3.2","dependency"
"@radix-ui/react-dialog","^1.1.14","dependency"
"@radix-ui/react-dropdown-menu","^2.1.15","dependency"
"@radix-ui/react-label","^2.1.7","dependency"
"@radix-ui/react-navigation-menu","^1.2.13","dependency"
"@radix-ui/react-scroll-area","^1.2.9","dependency"
"@radix-ui/react-select","^2.2.5","dependency"
"@radix-ui/react-separator","^1.1.7","dependency"
"@radix-ui/react-slot","^1.2.3","dependency"
"@radix-ui/react-switch","^1.2.5","dependency"
"@radix-ui/react-tooltip","^1.2.7","dependency"
"@tiptap/core","^3.0.7","dependency"
"@tiptap/extension-color","^3.0.7","dependency"
"@tiptap/extension-table","^3.0.7","dependency"
"@tiptap/extension-text-align","^3.0.7","dependency"
"@tiptap/extension-text-style","^3.0.7","dependency"
"@tiptap/extension-underline","^3.0.7","dependency"
"@tiptap/react","^3.0.7","dependency"
"@tiptap/starter-kit","^3.0.7","dependency"
"@xmldom/xmldom","^0.9.8","dependency"
"axios","^1.10.0","dependency"
"class-variance-authority","^0.7.1","dependency"
"classnames","^2.5.1","dependency"
"clsx","^2.1.1","dependency"
"glob","^11.0.2","dependency"
"lodash.debounce","^4.0.8","dependency"
"lucide-react","^0.511.0","dependency"
"papaparse","^5.5.3","dependency"
"react","^18.2.0","dependency"
"react-dom","^18.2.0","dependency"
"react-router-dom","^7.6.0","dependency"
"reactflow","^11.11.4","dependency"
"sonner","^2.0.5","dependency"
"tailwind-merge","^3.3.0","dependency"
"zustand","^5.0.6","dependency"
"@tanstack/react-query-devtools","^5.83.0","devDependency"
"@types/papaparse","^5.3.16","devDependency"
"@types/react","^19.1.8","devDependency"
"@types/react-dom","^19.1.6","devDependency"
"@vitejs/plugin-react","^4.0.4","devDependency"
"autoprefixer","^10.4.14","devDependency"
"postcss","^8.4.21","devDependency"
"tailwindcss","^3.3.2","devDependency"
"typescript","^5.8.3","devDependency"
"vite","^4.4.9","devDependency"
"vite-tsconfig-paths","^5.1.4","devDependency"
